Time,Open,High,Low,Close,Volume,Price Change,Direction of Price Change,Upward Price Changes,Downward Price Changes,Average Upward Price Change,Downward Price Change,RSI
03.01.2004 19:00:00.000,107.03,107.06,106.88,106.92,640,,,,,,,
04.01.2004 19:00:00.000,106.95,107.35,106,106.25,25242,-0.67,0,0,0.67,,,
05.01.2004 19:00:00.000,106.26,106.42,105.93,106.22,23389,-0.03,0,0,0.03,,,
06.01.2004 19:00:00.000,106.23,106.42,105.89,106.19,24101,-0.03,0,0,0.03,,,
07.01.2004 19:00:00.000,106.17,106.26,106.03,106.18,18428,-0.01,0,0,0.01,,,
08.01.2004 19:00:00.000,106.17,108.25,106.04,106.76,29402,0.58,1,0.58,0,,,
09.01.2004 19:00:00.000,106.76,106.76,106.76,106.76,0,0,0,0,0,,,
10.01.2004 19:00:00.000,106.76,106.76,106.52,106.59,1025,-0.17,0,0,0.17,,,
11.01.2004 19:00:00.000,106.58,106.75,106.29,106.6,28422,0.01,1,0.01,0,,,
12.01.2004 19:00:00.000,106.61,106.61,106.08,106.22,29810,-0.38,0,0,0.38,,,
13.01.2004 19:00:00.000,106.24,106.33,105.92,106.24,33802,0.02,1,0.02,0,,,
14.01.2004 19:00:00.000,106.23,106.5,105.94,106.27,35252,0.03,1,0.03,0,,,
15.01.2004 19:00:00.000,106.29,107,105.7,106.6,33420,0.33,1,0.33,0,,,
16.01.2004 19:00:00.000,106.6,106.6,106.6,106.6,0,0,0,0,0,,,
17.01.2004 19:00:00.000,106.8,106.8,106.52,106.65,1998,0.05,1,0.05,0,0.072857143,0.092142857,-5.844155844
18.01.2004 19:00:00.000,106.67,107.48,106.31,107.21,32389,0.56,1,0.56,0,0.112857143,0.044285714,21.81818182
19.01.2004 19:00:00.000,107.22,107.91,106.8,107,42488,-0.21,0,0,0.21,0.112857143,0.057142857,16.38655462
20.01.2004 19:00:00.000,107.03,107.3,106.57,106.82,37795,-0.18,0,0,0.18,0.112857143,0.067857143,12.45059289
21.01.2004 19:00:00.000,106.84,107.02,105.91,106.13,37867,-0.69,0,0,0.69,0.112857143,0.116428571,-0.778816199
22.01.2004 19:00:00.000,106.15,106.82,105.71,106.71,39595,0.58,1,0.58,0,0.112857143,0.116428571,-0.778816199
23.01.2004 19:00:00.000,106.71,106.71,106.71,106.71,0,0,0,0,0,0.112857143,0.116428571,-0.778816199
24.01.2004 19:00:00.000,106.75,106.75,106.39,106.7,1732,-0.01,0,0,0.01,0.112857143,0.105,1.803278689
25.01.2004 19:00:00.000,106.71,106.71,105.76,106.37,40386,-0.33,0,0,0.33,0.112142857,0.128571429,-3.412462908
26.01.2004 19:00:00.000,106.38,106.39,105.43,105.62,38591,-0.75,0,0,0.75,0.112142857,0.155,-8.021390374
27.01.2004 19:00:00.000,105.63,106.61,105.42,106.14,39651,0.52,1,0.52,0,0.147857143,0.155,-1.179245283
28.01.2004 19:00:00.000,106.13,106.24,105.6,105.91,37680,-0.23,0,0,0.23,0.145714286,0.171428571,-4.054054054
29.01.2004 19:00:00.000,105.93,106.13,105.56,105.66,44280,-0.25,0,0,0.25,0.122142857,0.189285714,-10.77981651
30.01.2004 19:00:00.000,105.66,105.66,105.66,105.66,0,0,0,0,0,0.122142857,0.189285714,-10.77981651
31.01.2004 19:00:00.000,105.66,105.81,105.55,105.62,1803,-0.04,0,0,0.04,0.118571429,0.192142857,-11.83908046
01.02.2004 19:00:00.000,105.6,105.77,105.34,105.52,32681,-0.1,0,0,0.1,0.078571429,0.199285714,-21.72236504
02.02.2004 19:00:00.000,105.52,105.86,105.18,105.45,40449,-0.07,0,0,0.07,0.078571429,0.189285714,-20.66666667
03.02.2004 19:00:00.000,105.46,105.65,105.24,105.45,37204,0,0,0,0,0.078571429,0.176428571,-19.18767507
04.02.2004 19:00:00.000,105.46,106.05,105.33,105.59,39210,0.14,1,0.14,0,0.088571429,0.127142857,-8.940397351
05.02.2004 19:00:00.000,105.57,106.8,105.35,105.45,45736,-0.14,0,0,0.14,0.047142857,0.137142857,-24.41860465
06.02.2004 19:00:00.000,105.45,105.45,105.45,105.45,0,0,0,0,0,0.047142857,0.137142857,-24.41860465
07.02.2004 19:00:00.000,105.7,106.09,105.49,105.65,2179,0.2,1,0.2,0,0.061428571,0.136428571,-18.95306859
08.02.2004 19:00:00.000,105.67,105.89,105.46,105.84,37594,0.19,1,0.19,0,0.075,0.112857143,-10.07604563
09.02.2004 19:00:00.000,105.84,105.9,105.28,105.58,38728,-0.26,0,0,0.26,0.075,0.077857143,-0.934579439
10.02.2004 19:00:00.000,105.57,105.71,105.14,105.33,40211,-0.25,0,0,0.25,0.037857143,0.095714286,-21.65775401
11.02.2004 19:00:00.000,105.32,105.59,105.22,105.31,31964,-0.02,0,0,0.02,0.037857143,0.080714286,-18.07228916
12.02.2004 19:00:00.000,105.32,105.6,105.22,105.42,28133,0.11,1,0.11,0,0.045714286,0.062857143,-7.894736842
13.02.2004 19:00:00.000,105.42,105.42,105.42,105.42,0,0,0,0,0,0.045714286,0.062857143,-7.894736842
