INDU Index,,SPX Index,,CCMP Index,,S&P/TSX Composite (Canadian Index),,Mexican Index (MEXBOL),,(Brazil Sau Paulo Stock Index) IBOV Index,,(Eurozone Bluechip Index) SX5E Index,,(UK Index) UKX Index,,(French Stock Index)CAC Index,,(German Stock Index) DAX Index,,(Span Stock Index) IBEX Index,,(Italian Stock Index) FTSEMIB Index,,(Netherlands Stock Index) AEX Index,,(Swedish Stock Index) OMX Index,,(Swiss Stock Index) SMI Index,,(Nikkei 225) NKY Index,,(HengSeng Index) HSI Index,,(Australia Stock Index) AS51 Index,,,,
Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,,,
#NAME?,10409.85,#NAME?,1108.48,#NAME?,2006.68,#NAME?,8293.7,#NAME?,8818.19,#NAME?,22444.71,#NAME?,2797.56,#NAME?,4510.2,#NAME?,3596.8,#NAME?,4018.5,#NAME?,7879.2,#NAME?,27384,#NAME?,342.76,#NAME?,644.48,#NAME?,5582.7,#NAME?,10825.17,#NAME?,12801.48,#NAME?,3300.7,,,
1/5/04,10544.07,1/5/04,1122.22,1/5/04,2047.36,1/5/04,8381.66,1/5/04,9054.11,1/5/04,23531.74,1/5/04,2808.07,1/5/04,4513.3,1/5/04,3608.29,1/5/04,4035.9,1/5/04,7911.4,1/5/04,27530,1/5/04,343.74,1/5/04,644.55,1/6/04,5596.6,1/6/04,10813.99,1/5/04,13005.33,1/5/04,3286,,,
1/6/04,10538.66,1/6/04,1123.67,1/6/04,2057.37,1/6/04,8405.1,1/6/04,9038.46,1/6/04,23576.44,1/6/04,2805.91,1/6/04,4505.2,1/6/04,3595.82,1/6/04,4035.44,1/7/04,7913.7,1/6/04,27652,1/6/04,342.11,1/7/04,635.47,1/7/04,5583.4,1/7/04,10757.82,1/6/04,13036.32,1/6/04,3317.5,,,
1/7/04,10529.03,1/7/04,1126.33,1/7/04,2077.68,1/7/04,8388.53,1/7/04,9098.22,1/7/04,23320.12,1/7/04,2782.52,1/7/04,4473,1/7/04,3563.51,1/7/04,4004.4,1/8/04,7943.4,1/7/04,27187,1/7/04,340.17,1/8/04,647.7,1/8/04,5605.1,1/8/04,10837.65,1/7/04,13157.68,1/7/04,3303.6,,,
1/8/04,10592.44,1/8/04,1131.92,1/8/04,2100.25,1/8/04,8386.42,1/8/04,9169.81,1/8/04,23716.82,1/8/04,2821.33,1/8/04,4494.2,1/8/04,3592.73,1/8/04,4045.43,1/9/04,7924.6,1/8/04,27503,1/8/04,345.29,1/9/04,650.48,1/9/04,5574.7,1/9/04,10965.05,1/8/04,13203.59,1/8/04,3297.9,,,
1/9/04,10458.89,1/9/04,1121.86,1/9/04,2086.92,1/9/04,8352.19,1/9/04,9102.82,1/9/04,23916.72,1/9/04,2800.16,1/9/04,4466.3,1/9/04,3574.8,1/9/04,4016.18,1/12/04,7934.6,1/9/04,27441,1/9/04,343.52,1/12/04,652.33,1/12/04,5507.7,1/13/04,10849.68,1/9/04,13385.8,1/9/04,3301.6,,,
1/12/04,10485.18,1/12/04,1127.23,1/12/04,2111.78,1/12/04,8380.37,1/12/04,9129.05,1/12/04,24236.98,1/12/04,2793.88,1/12/04,4449.6,1/12/04,3560.1,1/12/04,3995.91,1/13/04,7946.1,1/12/04,27471,1/12/04,341.53,1/13/04,655.1,1/13/04,5559.1,1/14/04,10863,1/12/04,13352.22,1/12/04,3302.7,,,
1/13/04,10427.18,1/13/04,1121.22,1/13/04,2096.44,1/13/04,8380.34,1/13/04,9141.58,1/13/04,23939.63,1/13/04,2801.97,1/13/04,4440.1,1/13/04,3576.18,1/13/04,3996.22,1/14/04,7978.1,1/13/04,27393,1/13/04,342.77,1/14/04,661.13,1/14/04,5624.3,1/15/04,10665.15,1/13/04,13396.65,1/13/04,3295.3,,,
1/14/04,10538.37,1/14/04,1130.52,1/14/04,2111.13,1/14/04,8403.77,1/14/04,9171.66,1/14/04,23398.64,1/14/04,2829.44,1/14/04,4461.4,1/14/04,3612.55,1/14/04,4055.21,1/15/04,7957.3,1/14/04,27631,1/14/04,347.23,1/15/04,665.12,1/15/04,5631,1/16/04,10857.2,1/14/04,13320.88,1/14/04,3310.9,,,
